siteID,site_group,site_num,Fluoride,Chloride,Nitrite,Bromide,NitrateN,PhosphateP,Sulfate,NH4N
Bp_38,Bp,38,.,15.24,.,0.65,0.57,0,37.47,.
Bp_39,Bp,39,.,18.59,.,0.42,1.79,0,119.44,.
Bp_40,Bp,40,.,11.64,.,0.65,0.63,0,57.93,.
Bp_41,Bp,41,.,20.35,.,0.67,0.41,0,75.49,.
Bp_42,Bp,42,.,12.88,.,0.49,0.39,0,44.68,.
Bp_43,Bp,43,.,22.46,.,0.48,0.34,0,14.57,.
Bp_44,Bp,44,.,10.88,.,0.61,0.46,0,71.2,.
Bp_45,Bp,45,.,27.35,.,0.62,0.44,0,115.92,.
Bp_46,Bp,46,1.3073,16.3,.,0.61,0.32,0,64.51,.
Bp_47,Bp,47,0.8871,9.75,.,0.4,0,0,35.87,.
Bp_48,Bp,48,1.6219,29.91,.,0.45,0,0,25.54,.
Bp_49,Bp,49,1.3605,10.51,.,0.59,0.2,0,23.94,.
Bp_50,Bp,50,1.3354,27.5,.,0.72,0.21,0,124.42,.
Bc_1,Bc,1,.,10.23,.,0.05,0.01,0.08,50.51,0.01
Bc_2,Bc,2,.,15.92,.,0.07,0.01,0.04,58.1,0.02
Bc_3,Bc,3,.,9.32,.,0.04,0.02,0.07,42.46,0.06
Bc_4,Bc,4,.,9.75,.,0.04,0.01,0.03,47.65,0.04
Bc_5,Bc,5,.,10.06,.,0.05,0.09,0.07,40.82,0.01
Bc_6,Bc,6,.,7.71,.,0.05,0.01,0.04,41.7,0.01
Bc_7,Bc,7,.,9.28,.,0.04,0.01,0.08,49.07,0.02
Bc_8,Bc,8,.,12.12,.,0.04,0.11,0.04,40.07,0
Bc_9,Bc,9,.,16.17,.,0.04,0.03,0.03,59.3,0.04
Bc_10,Bc,10,.,12.62,.,0.02,0.1,0.05,35.7,0.06
Bc_11,Bc,11,.,11.86,.,0,0.1,0.04,38.68,0.03
Bc_12,Bc,12,.,13.51,.,0.05,0.12,0.06,39.18,0.02
Bc_13,Bc,13,.,10.03,.,0.05,0.02,0.03,48.49,0.01
Bc_14,Bc,14,.,11.54,.,0.03,0.02,0,39.84,0.02
Bc_15,Bc,15,.,7.66,.,0.02,0.09,0.03,25.31,0.01
Bc_16,Bc,16,.,15.03,.,0.03,0.03,0.04,48.8,0.04
Bc_17,Bc,17,.,8.3,.,0.02,0.01,0.05,30.44,0.05
Bc_18,Bc,18,.,8.91,.,0.05,0.05,0.05,35.63,0.02
Bc_19,Bc,19,.,6.45,.,0.02,0.04,0.13,39.67,0.01
Bc_20,Bc,20,.,3.05,.,0.02,0,0.01,9.61,0.03
Bc_21,Bc,21,.,4.78,.,0.02,0.02,0.03,11.68,0.02
Bc_22,Bc,22,.,10.68,.,0.05,0.02,0.05,55.91,0
Bc_23,Bc,23,.,14.65,.,0.08,0.02,0.04,55.75,0
Bc_24,Bc,24,.,13.98,.,0.08,0.02,0.05,89.08,0
Bc_25,Bc,25,.,13.83,.,0.08,0.02,0.05,86.85,0
Bc_26,Bc,26,.,13.73,.,0.06,0.25,0.11,48.33,0
Bc_27,Bc,27,.,10.58,.,0.06,0.02,0.02,66.59,0
Bc_28,Bc,28,.,9.62,.,0.05,0.03,0.03,57.69,0
Bc_29,Bc,29,.,10.79,.,0.07,0.02,0.1,48.72,0
Bc_30,Bc,30,.,15.94,.,0.08,0.02,0.03,57.45,0.02
Bc_31,Bc,31,.,11.2,.,0.06,0.15,0.08,41.21,0.03
Bc_32,Bc,32,.,13.18,.,0.06,0.03,0.06,57.46,0.04
Bc_33,Bc,33,.,7.87,.,0.03,0.11,0.03,35.07,0.02
Bc_34,Bc,34,.,11.66,.,0.08,0.02,0.05,54.65,0
Bc_35,Bc,35,.,9.99,.,0.06,0.01,0.08,49.94,0.01
Bc_36,Bc,36,.,16.6,.,0.06,0.24,0.02,46.57,0
Bc_37,Bc,37,.,14.3,.,0.08,0.09,0.03,54.9,0
Bc_38,Bc,38,.,17.74,.,0.06,0.23,0.04,44.11,0.01
Bc_39,Bc,39,.,15.23,.,0.04,0.06,0.01,45.49,0.02
Bc_40,Bc,40,.,12.99,.,0.05,0.04,0.01,39.92,0.01
Bc_41,Bc,41,.,12.04,.,0.04,0.02,0.01,42.51,0.01
Bc_42,Bc,42,.,15.74,.,0.05,0.04,0.02,47.19,0.01
Bc_43,Bc,43,.,9.49,.,2.11,0.09,0.11,48.47,0
Bc_44,Bc,44,.,15.63,.,2.15,0.04,0.06,58.59,0
Bc_45,Bc,45,.,8.81,.,0.09,0.05,0.08,44.93,0.01
Bc_46,Bc,46,.,8.87,.,0.07,0.07,0.08,44.91,0.01
Bc_47,Bc,47,.,9.54,.,1.5,0.1,0.06,46.07,0
Bc_48,Bc,48,.,10.72,.,0.04,0.06,0.06,56.69,0.01
Bc_49,Bc,49,.,14.89,.,0.26,0.04,0.04,68.05,0
Bc_50,Bc,50,.,2.85,.,0.02,0.05,0.06,29.75,0
Bc_51,Bc,51,.,12.51,.,0.07,0.03,0.06,46.64,0
Bc_52,Bc,52,.,4.02,.,0.03,0.04,0.05,27.58,0
Bc_53,Bc,53,.,3.27,.,0.03,0,0.05,29.9,0
Bc_54,Bc,54,.,4.49,.,0.02,0.05,0.02,37.3,0
Bc_55,Bc,55,.,3.34,.,0.04,0.03,0.03,30.38,0
Bc_56,Bc,56,.,3.02,.,0.03,0.03,0.04,29.58,0
Bc_57,Bc,57,.,8.6,.,0.06,0.08,0.06,42.39,0
Bc_58,Bc,58,.,12.24,.,0.04,0.09,0.03,50.63,0
Bc_59,Bc,59,.,8.99,.,0.04,0.07,0.04,40.45,0.01
Bc_60,Bc,60,.,8.12,.,0.06,0.04,0.05,38.4,0.01
Bc_61,Bc,61,.,11.08,.,0.05,0.19,0.05,43.72,0
Bc_62,Bc,62,.,7.36,.,0.03,0.05,0.02,40.96,0
Bc_63,Bc,63,.,6.85,.,0.04,0.06,0.05,37.77,0
Bc_64,Bc,64,.,11.53,.,0.04,0.28,0.05,38.88,0.03
Bc_65,Bc,65,.,11.88,.,0.03,0.08,0.05,44.72,0.07
Bc_66,Bc,66,.,5.35,.,0.02,0.21,0.05,27.83,0.03
Bc_67,Bc,67,.,8.81,.,0.03,0.12,0.03,34.15,0.01
Bc_68,Bc,68,.,4.86,.,0,0.23,0.02,31.3,0.03
Bc_69,Bc,69,.,10.22,.,0.02,0.07,0.01,38.03,0.02
Bc_70,Bc,70,.,10.22,.,0.06,0.13,0.05,37.29,0.01
Bc_71,Bc,71,.,4.6,.,0.01,0.2,0.07,30.93,0
Bc_72,Bc,72,.,11.97,.,0.02,0.05,0.05,44.71,0.01
Bc_73,Bc,73,.,4.71,.,0.01,0.23,0.07,30.77,0.01
Bc_74,Bc,74,.,4.36,.,0.01,0.06,0.07,31.72,0.01
Bc_75,Bc,75,.,5.55,.,0.02,0.15,0.02,46.51,0.02
Bc_76,Bc,76,.,6.23,.,0.04,0.04,0.05,33.74,0.01
Bc_77,Bc,77,.,5.67,.,0.01,0.09,0.04,32.93,0
Bc_78,Bc,78,.,4.37,.,0.02,0.08,0.06,42.09,0.02
Bc_79,Bc,79,.,10.55,.,0.05,0.06,0.05,42.68,0.04
Bc_80,Bc,80,.,5.07,.,0.02,0.04,0.02,44.23,0.05
Bc_81,Bc,81,.,5.19,.,0.03,0.07,0.07,48.32,0.03
Bc_82,Bc,82,.,6.29,.,0.02,0.09,0.04,50.94,0.03
Bc_83,Bc,83,.,5.07,.,0.02,0.03,0.02,38.96,0.02
Bc_84,Bc,84,.,4.05,.,0.02,0.07,0.04,33.47,0.01
Bc_85,Bc,85,.,11.29,.,0.42,1.54,0,43.01,.
Bc_86,Bc,86,.,10.24,.,0.39,0.5,0,49.37,.
Bc_87,Bc,87,.,8.81,.,0.4,0.54,0,40.68,.
Bc_88,Bc,88,.,11.15,.,0.39,0.69,0,41.99,.
Bc_89,Bc,89,.,9.06,.,0.37,0.58,0,43.2,.
Bc_90,Bc,90,.,11.42,.,0.59,0.58,0,46.27,.
Bc_91,Bc,91,.,11.18,.,0.42,1.15,0,43.62,.
Bc_92,Bc,92,.,5.62,.,0.58,0.37,0,43.4,.
Bc_93,Bc,93,.,10.28,.,0.46,0.38,0,34.19,.
Bc_94,Bc,94,.,5.06,.,0,0.46,0,36.83,.
Bc_95,Bc,95,.,5.14,.,0,0.54,0,37.47,.
Bc_96,Bc,96,.,4.17,.,0,0.39,0,39.37,.
Bc_97,Bc,97,.,5.1,.,0,0.32,0,38.92,.
Bc_98,Bc,98,.,5.06,.,0,0.36,0,44.01,.
Bc_99,Bc,99,0.7025,9.8,.,0.33,0,0,51.78,.
Bc_100,Bc,100,0.6028,9.47,.,0,0,0,46.67,.
Bc_101,Bc,101,0.3449,4.35,.,0,0,0,21.34,.
Bc_102,Bc,102,0.7884,9.67,.,0.43,0,0,52.86,.
Bc_103,Bc,103,0.5976,9.32,.,0,0,0,51.45,.
Bc_104,Bc,104,0.6309,7.2,.,0,0,0,45.46,.
Bc_105,Bc,105,0.7911,11.26,.,0,0,0,49.66,.
Bc_106,Bc,106,.,.,.,.,.,.,.,
Bc_107,Bc,107,.,.,.,.,.,.,.,
Bc_108,Bc,108,.,.,.,.,.,.,.,
Bc_109,Bc,109,.,.,.,.,.,.,.,
Bc_110,Bc,110,1.4226,13.803,0,0.0762,0.8655,0,42.4218,
Bc_111,Bc,111,1.1554,11.478,0,0,0,0,49.3639,
Bc_112,Bc,112,1.1491,9.162,0,0.0401,0.0939,0,49.4996,
Bc_113,Bc,113,1.126,9.971,0,0,0,0.9857,47.4656,
Bc_114,Bc,114,0.3533,6.8429,0,0.1237,0.0702,0,54.4053,
Bc_115,Bc,115,0.4529,6.7393,0,0.0789,0.1141,0.09,46.0504,
Bc_116,Bc,116,9.9726,34.2539,1.8557,3.6983,0,0,42.4046,
Bc_117,Bc,117,0.4365,6.6874,0,0,0.3271,0,46.2189,
Bc_118,Bc,118,0.4875,39.31,0,0.844,1.2996,0.4073,223,
Bc_119,Bc,119,0.5356,16.46,0.0962,0.6594,1.0005,0,86.5,
Bc_120,Bc,120,0.6017,8.46,0,0.7855,1.0953,0,55.91,
Bc_121,Bc,121,0.5567,9.2,0,0.8677,1.4582,0.6596,57.32,
Bf_1,Bf,1,0.6974,12.572,0,0.0365,0,0.4079,40.1912,
Bf_2,Bf,2,0.8852,30.844,0.15,0,1.8998,0.7076,84.8195,
Bf_3,Bf,3,0.8369,21.478,0,0,0,0.3761,79.0962,
Bf_4,Bf,4,0.8659,26.69,0,0.3891,0.849,0.6781,81.1955,
Bf_5,Bf,5,0.993,26.25,0.5219,0.121,4.8654,1.0095,70.3266,
Bf_6,Bf,6,1.0218,28.449,0,0.5295,0.6986,0.99,90.5082,
Bf_7,Bf,7,0.921,31.956,0,0.28,0.2621,0.3721,81.82,
Bf_8,Bf,8,0.9242,74.162,0,0.5316,0.6585,0,0,
Bf_9,Bf,9,1.0331,26.932,0,0.658,1.4309,1.6796,83.0743,
Bf_10,Bf,10,0.8588,30.619,0,0.342,0.7589,0,85.4817,
Bf_11,Bf,11,0.9385,31.807,0,0.5143,0.8968,0,66.8988,
Bf_12,Bf,12,0.8611,15.685,0,0.188,2.7241,1.1021,44.4166,
Bf_13,Bf,13,1.014,25.885,0,0.3975,0.8513,1.139,61.1434,
Bf_14,Bf,14,0.9459,24.693,0,0.403,0.6835,0,52.0231,
Bf_15,Bf,15,0.7028,21.2872,0,0.3876,0.2816,0.3283,50.4261,
Bf_16,Bf,16,0.4514,27.2872,0,0.1035,0.1441,0.3007,88.2454,
Bf_17,Bf,17,0.6736,32.43,0,0.5006,0.5988,0.2653,63.9478,
Bf_18,Bf,18,0.6736,29.6192,0,0.5552,0.6149,0.284,67.6193,
Bf_19,Bf,19,0.5888,32.4486,0.4893,0.0658,2.7266,0,110.7443,
Bf_20,Bf,20,0.8426,27.4993,0,0.5533,0.9083,1.1442,47.0262,
Bf_21,Bf,21,0.7538,15.1995,0,0.4655,0.5245,0.4544,34.8428,
Bf_22,Bf,22,0.8789,22.214,0,0.9361,1.4131,0.6916,72.6291,
Bf_23,Bf,23,0.8585,31.853,0.3485,0.9058,4.0315,1.1873,86.8844,
Bf_24,Bf,24,0.8012,17.362,0.222,0.9131,1.3893,0.6868,57.196,
Bf_25,Bf,25,0.8403,17.666,0.2086,0.878,1.3194,0.3993,51.5388,
Bf_26,Bf,26,.,.,.,.,.,.,.,
Bf_27,Bf,27,0.8339,32.115,0.3236,0.8872,5.4765,2.0867,75.773,
Bf_28,Bf,28,0.798,29.284,0,0.9671,1.4915,1.2094,67.475,
Bf_29,Bf,29,0.8778,28.789,0,0.1446,1.4233,0,48.8821,
Bf_30,Bf,30,0.6998,26.188,0.6787,0.5029,0.552,0.7556,80.1298,
Bf_31,Bf,31,0.8687,24.699,0,0.3706,1.4548,0.6392,65.2635,
Bf_32,Bf,32,0.8872,21.471,1.0531,0.0847,1.4039,0,50.8301,
Bf_33,Bf,33,0.5165,20.946,0.5958,0.3867,2.9239,1.4249,43.1964,
Bf_34,Bf,34,0.8381,25.025,0,0.1623,1.4316,0.7636,60.4812,
Bf_35,Bf,35,0.5607,22.059,0,0.3659,0.4517,1.3835,51.4856,
Bf_36,Bf,36,0.3786,12.811,0,0.3537,0.0668,0.0545,42.3331,
Bf_37,Bf,37,0.5672,26.605,0.1365,0.7106,0.8532,0.0501,86.5289,
Bf_38,Bf,38,0.2975,13.598,0,0.3781,0.0888,0.1148,44.2687,
Bf_39,Bf,39,0.5224,20.083,0,0.5491,0.1568,0.019,45.4102,
Bf_40,Bf,40,0.069,16.93,0,0.485,2.2626,0.3392,59.1728,
Bf_41,Bf,41,0.4332,9.304,0,0.1925,0,0.2999,41.7671,
Bf_42,Bf,42,0.212,15.603,0,0.5149,0.0892,1.4118,36.5759,
Cb_1,Cb,1,.,10.19,.,0.07,0.01,0.07,35.6,0.11
Cb_2,Cb,2,.,10.13,.,0.05,0.01,0.06,47.26,0.09
Cb_3,Cb,3,.,6,.,0.05,0.02,0.07,26.23,0.15
Cb_4,Cb,4,.,6.12,.,0.04,0.01,0.06,27.24,0.05
Cb_5,Cb,5,.,18.71,.,0.07,0.02,0.03,78.58,0.06
Cb_6,Cb,6,.,18.58,.,0.07,0.02,0,77.08,0.08
Cb_7,Cb,7,.,13.09,.,0.05,0.02,0.05,37.04,0.05
Cb_8,Cb,8,.,11.49,.,0.06,0.03,0.07,40.62,0.11
Cb_9,Cb,9,.,12.04,.,0.06,0.06,0.01,37.17,0.01
Cb_10,Cb,10,.,10.74,.,0.06,0.02,0.04,41.62,0.03
Cb_11,Cb,11,.,23.2,.,0.06,0.02,0.03,91.8,0.04
Cb_12,Cb,12,.,11.41,.,0.08,0.01,0.01,31.04,0.05
Cb_13,Cb,13,.,15.02,.,0.07,0.03,0.22,43.02,0.03
Cb_14,Cb,14,.,7.65,.,0.04,0.01,0.12,32.81,0.07
Cb_15,Cb,15,.,13.19,.,0.04,0.02,0.07,26.22,0.13
Cb_16,Cb,16,.,6.02,.,0.01,0.06,0.03,39.07,0.03
Cb_17,Cb,17,.,12.39,.,0.06,0.01,0.02,30.02,0.03
Cb_18,Cb,18,.,12.75,.,0.05,0.01,0.03,32.96,0.04
Cb_19,Cb,19,.,14.86,.,0.1,0.02,0.02,62.79,0
Cb_20,Cb,20,.,12.68,.,0.06,0.03,0.03,54.78,0
Cb_21,Cb,21,.,16.14,.,0.06,0.02,0.05,98.35,0.01
Cb_22,Cb,22,.,6.13,.,0.07,0.01,0.09,27.35,0.1
Cb_23,Cb,23,.,9.65,.,0.04,0.18,0.03,44.48,0.02
Cb_24,Cb,24,.,8.13,.,0.06,0.02,0.05,47.36,0
Cb_25,Cb,25,.,8.76,.,0.07,0.02,0.02,32.91,0
Cb_26,Cb,26,.,38.35,.,0.13,0.01,0,194.87,0.09
Cb_27,Cb,27,.,14.37,.,0.07,0.02,0.04,57.35,0.01
Cb_28,Cb,28,.,11.19,.,0.07,0.02,0.05,41.72,0.05
Cb_29,Cb,29,.,13.91,.,0.09,0.01,0.12,59.2,0.21
Cb_30,Cb,30,.,7.96,.,0.03,0.08,0.02,35.76,0.02
Cb_31,Cb,31,.,13.68,.,0.06,0.01,0.03,57.56,0.04
Cb_32,Cb,32,.,17,.,0.08,0.03,0.01,84.11,0.05
Cb_33,Cb,33,.,20.71,.,0.11,0.03,0.01,118.81,0.07
Cb_34,Cb,34,.,14.7,.,0.07,0.04,0.02,58.52,0.02
Cb_35,Cb,35,.,15.53,.,0.07,0.02,0.05,42.74,0.06
Cb_36,Cb,36,.,8.51,.,0.06,0.03,0.1,21.61,0.13
Cb_37,Cb,37,.,12.82,.,0.06,0.09,0.02,39.59,0.02
Cb_38,Cb,38,.,9.74,.,0.07,0.03,0.05,39.81,0.04
Cb_39,Cb,39,.,15.22,.,0.12,0.02,0.02,55.96,0.06
Cb_40,Cb,40,.,7.93,.,2.36,0.04,0.07,21.53,0.03
Cb_41,Cb,41,.,12.97,.,1.69,0.02,0.04,55.09,0.01
Cb_42,Cb,42,.,11.78,.,1.25,0.05,0.11,44.94,0.02
Cb_43,Cb,43,.,7.63,.,2.11,0.03,0.13,46.56,0.06
Cb_44,Cb,44,.,8.76,.,0.59,0.04,0,40.71,0.01
Cb_45,Cb,45,.,7.02,.,2.04,0.07,0.07,41.14,0.02
Cb_46,Cb,46,.,10.07,.,2.41,0.03,0.07,46.77,0.02
Cb_47,Cb,47,.,18.59,.,0.15,0.01,0.02,76.23,0.03
Cb_48,Cb,48,.,8.07,.,0.04,0.05,0.25,41.33,0
Cb_49,Cb,49,.,3.1,.,0.01,0.01,0.04,26.73,0.06
Cb_50,Cb,50,.,5.06,.,0.04,0.03,0.09,20.03,0.06
Cb_51,Cb,51,.,5.95,.,0.04,0.05,0.28,29.34,0
Cb_52,Cb,52,.,4.84,.,0.04,0.02,0.06,25,0.04
Cb_53,Cb,53,.,6.07,.,0.04,0.01,0.05,35.88,0.02
Cb_54,Cb,54,.,4.13,.,0.04,0.06,0.1,15.7,0.05
Cb_55,Cb,55,.,9.24,.,0.06,0.05,0.06,42.52,0
Cb_56,Cb,56,.,9.5,.,0.03,0.02,0.03,42.8,0.05
Cb_57,Cb,57,.,5.95,.,0.03,0.05,0.12,32.51,0.16
Cb_58,Cb,58,.,13.1,.,0.03,0.13,0.04,44.07,0
Cb_59,Cb,59,.,6.82,.,0.06,0.04,0.05,33.54,0.03
Cb_60,Cb,60,.,4.57,.,0.04,0.06,0.04,25.75,0.06
Cd_1,Cd,1,1.029,13.872,0,0.4846,1.2577,0,38.801,
Cd_2,Cd,2,.,.,.,.,.,.,.,
Cd_3,Cd,3,.,.,.,.,.,.,.,
Cd_4,Cd,4,0.54,20.99,0,0.45,1.95,0,71.69,
Cd_5,Cd,5,.,.,.,.,.,.,.,
Cd_6,Cd,6,.,.,.,.,.,.,.,
Cd_7,Cd,7,0.7463,29.934,0,0.8639,2.0506,0,106.9661,
Cd_8,Cd,8,.,.,.,.,.,.,.,
Cd_9,Cd,9,.,.,.,.,.,.,.,
Cd_10,Cd,10,0.4362,10.412,0,0.3471,0.359,0,30.6159,
Cd_11,Cd,11,.,.,.,.,.,.,.,
Cd_12,Cd,12,.,.,.,.,.,.,.,
Cd_13,Cd,13,.,.,.,.,.,.,.,
Cd_14,Cd,14,.,.,.,.,.,.,.,
Cd_15,Cd,15,.,.,.,.,.,.,.,
Cf_1,Cf,1,.,55.06,.,0.23,0.04,0.02,240.15,0.31
Cf_2,Cf,2,.,87.36,.,0.32,0.03,0.37,373.52,0.64
Cf_3,Cf,3,.,97.41,.,0.34,0.03,82.91,442.24,0.62
Cf_4,Cf,4,.,57.05,.,0.26,0.05,0.01,218.89,0.36
Cf_5,Cf,5,.,47.22,.,0.23,0.04,0.04,194.97,0.22
Cf_6,Cf,6,.,34.76,.,0.47,0.45,0,165.41,.
Cf_7,Cf,7,.,63.9,.,0.64,1.48,0,349.5,.
Cf_8,Cf,8,.,55.02,.,0.64,0.43,0,312.95,.
Cf_9,Cf,9,.,40.41,.,0.63,0.35,0,190.73,.
Cf_10,Cf,10,.,34.51,.,0.45,0.36,0,172.95,.
Cf_11,Cf,11,.,32.62,.,0.71,0.92,0,155.83,.
Cf_12,Cf,12,.,48.55,.,0.48,0.36,0,258.48,.
Cf_13,Cf,13,.,37.17,.,0.64,0.43,0,194.88,.
Cf_14,Cf,14,.,38.68,.,0.53,0.33,0,180.81,.
Cf_15,Cf,15,.,27.18,.,0.57,0,0,131.36,.
Cf_16,Cf,16,0.9823,31.73,.,0.96,0,0,145.79,.
Cf_17,Cf,17,0.7321,20.75,.,0.47,0,0,90.91,.
Cf_18,Cf,18,1.4657,51.53,.,0.66,0.24,0,237.62,.
Cf_19,Cf,19,0.711,36.94,.,0.41,0,0,169.81,.
Cf_20,Cf,20,0.9623,27.84,.,0.43,0.2,0,119.4,.
DV_1,DV,1,.,9.66,.,0.05,0.13,0.06,42.05,0.01
DV_2,DV,2,.,11.36,.,0.05,0.13,0,45.36,0.02
DV_3,DV,3,.,.,.,.,.,.,.,.
DV_4,DV,4,.,10.38,.,0.04,0.07,0.05,42.59,0.02
DV_5,DV,5,.,9.44,.,0.04,0.13,0.07,40.63,0.02
DV_6,DV,6,.,13.54,.,0.05,0.16,0.13,46.31,0.01
DV_7,DV,7,.,.,.,.,.,.,.,.
DV_8,DV,8,.,.,.,.,.,.,.,.
DV_9,DV,9,.,.,.,.,.,.,.,.
DV_10,DV,10,.,.,.,.,.,.,.,.
DV_11,DV,11,.,6.71,.,0.03,0.18,0.06,38.82,0
DV_12,DV,12,.,7,.,0.05,0.09,0.04,38.52,0.02
DV_13,DV,13,.,6.86,.,0.05,0.12,0.05,39.13,0.02
DV_14,DV,14,.,6.52,.,0.05,0.03,0.04,34.58,0.01
DV_15,DV,15,.,5.99,.,0.03,0.19,0.04,40.66,0.02
DV_16,DV,16,.,18.31,.,0.08,0.02,0.02,151,0
DV_17,DV,17,.,14.66,.,0.06,0.02,0.03,92.41,0
DV_18,DV,18,.,15.49,.,0.09,0.01,0.02,98.74,0
DV_19,DV,19,.,14.07,.,0.06,0.01,0.02,100.88,0
DV_20,DV,20,.,11.24,.,0.06,0.01,0.04,76.16,0
DV_21,DV,21,.,8.33,.,0.03,0.1,0.04,31.09,0
DV_22,DV,22,.,10.59,.,0.04,0.08,0.04,35.55,0
DV_23,DV,23,.,8.78,.,0.04,0.1,0.05,32.27,0
DV_24,DV,24,.,10.49,.,0.06,0.04,0.05,33.41,0
DV_25,DV,25,.,6.47,.,0.04,0.09,0.04,31.27,0
DV_26,DV,26,.,21.97,.,0.09,0.17,0.04,50.41,0.04
DV_27,DV,27,.,18.02,.,0.06,0.09,0.02,49.96,0.01
DV_28,DV,28,.,21.68,.,0.06,0.2,0.02,51.44,0
DV_29,DV,29,.,21.81,.,0.08,0.13,0.04,51.16,0.01
DV_30,DV,30,.,15.21,.,0.06,0.14,0.03,44.94,0.01
DV_31,DV,31,.,10.27,.,2.16,0.18,0.02,48.62,0
DV_32,DV,32,.,9.12,.,1.58,0.15,0.05,42.98,0
DV_33,DV,33,.,9.56,.,1.68,0.06,0.03,44.99,0.01
DV_34,DV,34,.,9.66,.,1.11,0.16,0.02,46.23,0.01
DV_35,DV,35,.,11.48,.,1.9,0.11,0.05,48.1,0
DV_36,DV,36,.,4.56,.,0.03,0.14,0.04,34.9,0.02
DV_37,DV,37,.,3.72,.,0.04,0.07,0.02,33.25,0.01
DV_38,DV,38,.,4.44,.,0.04,0.05,0.03,35.27,0.01
DV_39,DV,39,.,4.21,.,0.04,0.06,0.04,31.86,0.01
DV_40,DV,40,.,5.23,.,0.03,0.14,0.04,34.66,0.01
DV_41,DV,41,.,10.62,.,0.06,0.23,0.03,42.17,0
DV_42,DV,42,.,9.38,.,0.07,0.14,0.04,39.1,0
DV_43,DV,43,.,10.25,.,0.06,0.16,0.02,41.62,0
DV_44,DV,44,.,10.28,.,0.05,0.2,0.01,39.81,0
DV_45,DV,45,.,9.93,.,0.06,0.15,0.06,45.86,0
DV_46,DV,46,.,4.04,.,0,0.28,0.02,29.51,0.01
DV_47,DV,47,.,5.52,.,0.04,0.18,0.04,30.65,0.03
DV_48,DV,48,.,4.62,.,0.03,0.23,0.03,29.87,0.02
DV_49,DV,49,.,3.21,.,0.01,0.11,0.02,28.55,0.03
DV_50,DV,50,.,5.21,.,0.02,0.11,0.03,32.08,0.01
DV_51,DV,51,.,3.49,.,0,0.21,0.02,29.39,0.01
DV_52,DV,52,.,3.6,.,0.01,0.24,0.02,32.5,0
DV_53,DV,53,.,4,.,0,0.09,0.05,29.77,0.01
DV_54,DV,54,.,3.89,.,0.02,0.13,0.03,30.26,0.01
DV_55,DV,55,.,4.18,.,0.03,0.14,0.01,48.55,0.01
DV_56,DV,56,.,3.95,.,0.01,0.14,0.02,30.83,0
DV_57,DV,57,.,5.31,.,0.02,0.24,0.02,43.58,0
DV_58,DV,58,.,5.18,.,0.03,0.22,0.03,51.19,0.04
DV_59,DV,59,.,4.64,.,0.03,0.09,0.02,50.49,0.04
DV_60,DV,60,.,5.03,.,0.04,0.06,0.02,50.18,0.03
DV_61,DV,61,.,6.43,.,0.02,0.11,0.03,53.67,0.03
DV_62,DV,62,.,4.78,.,0.04,0.13,0.03,48.42,0.02
DV_63,DV,63,.,13.93,.,0.02,0.05,0.01,66.54,0.01
DV_64,DV,64,.,9.43,.,0.5,0.8,0,40.86,.
DV_65,DV,65,.,10.71,.,0.47,0.64,0,40.7,.
DV_66,DV,66,.,9.81,.,0.41,0.74,0,42.04,.
DV_67,DV,67,.,12.96,.,0.67,3.28,0,45.51,.
DV_68,DV,68,.,9.88,.,0.59,2.14,0,40.78,.
DV_69,DV,69,.,11.11,.,0.45,0.69,0,41.35,.
DV_70,DV,70,.,4.91,.,0.59,0.63,0,39.4,.
DV_71,DV,71,.,4.68,.,0.36,0.35,0,39.26,.
DV_72,DV,72,.,4.59,.,0,0.33,0,35.92,.
DV_73,DV,73,.,4.37,.,0,0.45,0,35.14,.
DV_74,DV,74,.,4.94,.,0.59,0.37,0,35.92,.
DV_75,DV,75,.,4.79,.,0,0.37,0,36.23,.
DV_76,DV,76,0.5151,8.27,.,0,0,0,47.81,.
DV_77,DV,77,0.6482,9.03,.,0,0,0,47.76,.
DV_78,DV,78,0.5564,8.46,.,0,0,0,47.65,.
DV_79,DV,79,0.6652,8.58,.,0,0,0,47.1,.
DV_80,DV,80,0.7036,8.16,.,0,0,0,45.95,.
DV_81,DV,81,0.8408,8.8,.,0.5,0.23,0,48.57,.
DV_82,DV,82,0.871,9.552,0,0,1.2026,0,57.9284,
DV_83,DV,83,0.7972,9.872,0,0,0,0,55.7045,
DV_84,DV,84,0.9706,7.758,0,0,0.6147,0,47.9203,
DV_85,DV,85,0.7744,9.08,0,0,0,0,47.9137,
DV_86,DV,86,0.8645,9.257,0,0.0303,0,0,47.9071,
DV_87,DV,87,1.4935,14.83,0,0.2747,0.8655,1.1853,42.1567,
DV_88,DV,88,1.4456,16.143,0,0.4277,1.008,0.904,40.413,
DV_89,DV,89,1.4511,9.517,0,0,0.2179,0,34.1223,
DV_90,DV,90,1.2795,15.885,0,0.1817,1.2755,1.0574,41.5508,
DV_91,DV,91,1.2358,19.262,0,0.0542,0.5364,0,49.8097,
DV_92,DV,92,0.3327,6.7848,0,0.0411,0.1657,0,61.7489,
DV_93,DV,93,0.3102,6.5317,0,0.0402,0.0768,0,50.1375,
DV_94,DV,94,0.3054,7.1378,0.1451,0,1.0212,0,50.8596,
DV_95,DV,95,0.5449,6.3238,0,0.1353,0.2119,0.1197,44.3939,
DV_96,DV,96,0.3415,9.799,0,0,0.3605,0,51.1008,
